// Trace for the all_devices experiment
// Devices:
// - HVAC
// - light
// - lock
// - outlet
// - presence
// - sensor (weather station)
// - smoke
// - switch
// - TV

// Time between state changes: 10 minutes
// Intruder payload format reminder: node_name/attack/start/duration/intensity

// HVAC
// No attack
{'ts': 0, 'value': 'OFF', 'target': 'scheduler/hvac_1'}
{'ts': 10, 'value': 'HEAT', 'target': 'scheduler/hvac_1'}
// Attack 0
{'ts': 20, 'value': 'hvac_1/0/0/30/100', 'target': 'intruder/control'}
{'ts': 20, 'value': 'OFF', 'target': 'scheduler/hvac_1'}
{'ts': 30, 'value': 'HEAT', 'target': 'scheduler/hvac_1'}
// Attack 1
{'ts': 40, 'value': 'hvac_1/1/0/30/100', 'target': 'intruder/control'}
{'ts': 40, 'value': 'OFF', 'target': 'scheduler/hvac_1'}
{'ts': 50, 'value': 'HEAT', 'target': 'scheduler/hvac_1'}
// Attack 2
{'ts': 60, 'value': 'hvac_1/2/0/30/100', 'target': 'intruder/control'}
{'ts': 60, 'value': 'OFF', 'target': 'scheduler/hvac_1'}
{'ts': 70, 'value': 'HEAT', 'target': 'scheduler/hvac_1'}
// Attack 3
{'ts': 80, 'value': 'hvac_1/3/0/30/100', 'target': 'intruder/control'}
{'ts': 80, 'value': 'OFF', 'target': 'scheduler/hvac_1'}
{'ts': 90, 'value': 'HEAT', 'target': 'scheduler/hvac_1'}
// Attack 4
{'ts': 100, 'value': 'hvac_1/4/0/30/70', 'target': 'intruder/control'}
{'ts': 100, 'value': 'OFF', 'target': 'scheduler/hvac_1'}
{'ts': 110, 'value': 'HEAT', 'target': 'scheduler/hvac_1'}
// Cooldown
{'ts': 120, 'value': 'OFF', 'target': 'scheduler/hvac_1'}


// Light
// No attack
{'ts': 0, 'value': 'OFF', 'target': 'scheduler/light_1'}
{'ts': 10, 'value': 'ON', 'target': 'scheduler/light_1'}
// Attack 0
{'ts': 20, 'value': 'light_1/0/0/40/100', 'target': 'intruder/control'}
{'ts': 20, 'value': 'OFF', 'target': 'scheduler/light_1'}
{'ts': 30, 'value': 'ON', 'target': 'scheduler/light_1'}
// Attack 1
{'ts': 40, 'value': 'light_1/1/0/40/100', 'target': 'intruder/control'}
